id,date,pollster,pollsterName,sampleSize,method,marginOfError,results,neutralResults,undecided,source
ph2026-001,2026-06-20,shanshui,山水民調（徵召後）,1070,phone,2.99,"wu_s_c:30.5,chen_c_c:29.2,yeh_c_l:22.1","wu_s_c:25.0,chen_c_c:26.0,yeh_c_l:23.5",18.2,https://www.upmedia.mg/
ph2026-002,2026-08-25,focus,關鍵調查,1068,phone,3.0,"chen_c_c:32.8,yeh_c_l:20.9,wu_s_c:19.2","chen_c_c:28.0,yeh_c_l:22.0,wu_s_c:16.5",27.1,https://www.storm.mg/
ph2026-003,2026-09-08,cnews,CNEWS匯流民調,1060,phone+cell,3.01,"chen_c_c:33.5,yeh_c_l:22.0,wu_s_c:19.8","chen_c_c:29.0,yeh_c_l:23.0,wu_s_c:17.0",24.7,https://cnews.com.tw/
