id,date,pollster,pollsterName,sampleSize,method,marginOfError,results,neutralResults,undecided,source
tc2026-001,2026-01-15,ettoday,ETtoday,1000,phone,3.1,"chiang_k:51.0,ho:32.4","chiang_k:42.0,ho:27.0",16.6,https://www.ettoday.net/
tc2026-002,2026-02-15,tvbs,TVBS,1020,phone,3.07,"chiang_k:54.0,ho:28.0","chiang_k:45.0,ho:23.0",18.0,https://news.tvbs.com.tw/
tc2026-003,2026-05-15,cnews,匯流新聞網,1068,phone,3.0,"chiang_k:40.6,ho:24.4","chiang_k:34.0,ho:20.0",35.0,https://cnews.com.tw/
tc2026-004,2026-06-28,tvbs,TVBS,1110,phone,2.94,"chiang_k:52.0,ho:31.0","chiang_k:43.0,ho:25.0",17.0,https://news.tvbs.com.tw/
tc2026-005,2026-07-08,formosa,美麗島,1075,phone,2.98,"chiang_k:49.5,ho:33.5","chiang_k:41.0,ho:27.0",17.0,https://www.my-formosa.com/
tc2026-006,2026-08-05,cnews,艾普羅,1077,phone,3.0,"chiang_k:38.2,ho:24.1","chiang_k:32.0,ho:20.0",37.7,https://cnews.com.tw/
tc2026-007,2026-08-17,asia-pacific,新台灣國策智庫（委趨勢民調執行）,1159,phone,2.88,"chiang_k:42.8,ho:36.1","chiang_k:36.0,ho:30.0",21.1,http://www.braintrust.tw/
tc2026-008,2026-09-07,focus,聯合聚焦（聯合報系）,1102,phone,2.95,"chiang_k:47.8,ho:32.5","chiang_k:42.0,ho:28.5",19.7,https://udn.com/
tc2026-009,2026-09-15,tvbs,TVBS民調中心,1085,phone,2.98,"chiang_k:45.1,ho:32.5","chiang_k:39.5,ho:31.0",22.4,https://news.tvbs.com.tw/
