id,date,pollster,pollsterName,sampleSize,method,marginOfError,results,neutralResults,undecided,source
tp2026-001,2025-10-15,tvbs,TVBS,1012,phone,3.08,"chiang:54.0,shen:28.0","chiang:45.0,shen:22.0",18.0,https://news.tvbs.com.tw/
tp2026-002,2026-05-12,asia-pacific,新台灣國策智庫,1078,phone,2.98,"chiang:52.9,shen:29.7","chiang:42.0,shen:24.0",17.4,http://www.braintrust.tw/
tp2026-003,2026-05-25,tvbs,TVBS,1105,phone,2.95,"chiang:58.0,shen:30.0","chiang:48.0,shen:23.0",12.0,https://news.tvbs.com.tw/
tp2026-004,2026-06-24,zmedia,震傳媒（委山水執行）,1074,phone,2.99,"chiang:55.2,shen:27.5","chiang:47.0,shen:10.2",17.3,https://www.zmedia.com.tw/
tp2026-005,2026-08-08,tpoc,TPOC台灣議題研究中心,1099,phone,2.96,"chiang:48.4,shen:33.0","chiang:42.0,shen:26.0",18.6,https://www.tpoc.com.tw/
tp2026-006,2026-09-09,ettoday,ETtoday民調雲,1180,phone,2.85,"chiang:53.8,shen:27.5","chiang:48.5,shen:23.0",18.7,https://www.ettoday.net/
tp2026-007,2026-09-18,udn,聯合報系／關鍵調查,1088,phone,2.97,"chiang:52.6,shen:28.4","chiang:45.0,shen:27.5",19.0,https://udn.com/
tp2026-008,2026-09-22,beacon,信民協會（戴立安規劃／畢肯執行）,1076,phone+cell,3.0,"chiang:41.7,shen:40.5","chiang:37.5,shen:36.5",17.8,https://www.ettoday.net/
